IC12 Motor Circuitry;dnPTV;SFARI;Motor DE Down;Motor DE Up;Motor Down Modules;Motor Up Modules;Excitatory;Inhibitory;Microglia;Oligodendrocyte;Astrocyte;Endothelial;Developmental Motor Issues;IC12_AND_AUTISM_AND_DEVMOTOR
DLG4;;CPT2;;;MTMR2;HADHA;KCND2;;;;;;HARS;
DLSTP;;CPZ;;;NLK;CD59;PDZRN4;;;;;;HOXA1;
DLX1;;CREBBP;;;ATXN7L3;MAP3K4;ZFYVE28;;;;;;ITPR1;
DLX2;;CLIP2;;;CETP;CPNE3;MGAT4C;;;;;;JARID2;
DNM1;;CPEB4;;;KLHL42;RRN3;BRINP3;;;;;;KAT8;
DNAH8;;CPSF7;;;GNAS;MGST2;NGFRAP1;;;;;;KDM4B;
DNASE1L1;;CSDE1;;;DNM1L;B4GALT1;LMO3;;;;;;KIDINS220;
DNMT1;;CSMD1;;;DOCK3;TXLNG;FUT9;;;;;;KIF14;
DOCK3;;CSMD3;;;C3orf18;LAT2;RBFOX3;;;;;;KLC2;
DPAGT1;;CSNK1E;;;ATRN;HSD17B14;CDH9;;;;;;KMT2A;
DPH2;;CSNK1G1;;;MAPKAPK5;TRIP6;GPM6A;;;;;;KMT2C;
DPP4;;CSNK2A1;;;ANAPC5;FTL;CDC37;;;;;;KY;
DRP2;;CSNK2B;;;RPH3A;ADAMTS2;RAPGEF2;;;;;;LARS;
TSC22D3;;CTCF;;;PEBP1;MMP2;VWC2L;;;;;;LRP4;
DUSP2;;CTNNA2;;;MLF2;MT3;CIRBP;;;;;;LRP5;
DUSP3;;CTNNA3;;;DDX24;LPCAT2;BEX1;;;;;;MADD;
DUSP;;CTNNB1;;;NECAP1;SH3BP2;FUT9;;;;;;MED13;
DUSP6;;CTNND2;;;MAEA;PIR;MAP2;;;;;;MESDC2;
DUSP8;;CTR9;;;STRN4;AAMDC;TTF2;;;;;;MFN2;
DVL1;;CTTNBP2;;;RAB11FIP3;RFX2;UNC13B;;;;;;MORC2;
E2F1;;CUL3;;;MCOLN1;GP6;ZEB2;;;;;;MPP5;
E2F3;;CUL7;;;USP48;ASAP3;PPP3CA;;;;;;MUSK;
E2F4;;CUX1;;;AARS;TGDS;GALNTL6;;;;;;MYH7;
ECE1;;CUX2;;;NAT14;SMOX;CDH10;;;;;;MYT1L;
ECM1;;CX3CR1;;;PITPNM2;CPXM1;PTPRF;;;;;;NAA10;
EEF2;;CYFIP1;;;NRCAM;MAVS;RPL8;;;;;;NGLY1;
EFNA3;;CYLC2;;;DLD;SNX5;RP11-711K1.8;;;;;;NPHP1;
EFNA5;;CYP27A1;;;WDR7;RPL6;PKIA;;;;;;NTNG1;
EFNB2;;DAGLA;;;TXNL1;RBBP9;MLLT3;;;;;;NTNG2;
CELSR2;;DAPP1;;;PITPNM3;RPLP0;OR2L13;;;;;;OTUD6B;
MEGF8;;DDC;;;OSGEP;PXN;UBA6-AS1;;;;;;PAFAH1B1;
EGR1;;DDHD2;;;SLC22A17;SIRT4;ZBTB44;;;;;;PAK3;
EGR2;;DDX23;;;HECTD1;FXYD3;CIRBP;;;;;;PC;
EGR3;;DDX3X;;;SUPT16H;HEPH;NEGR1;;;;;;PHKA2;
EGR4;;DDX53;;;CRTAC1;GMIP;MAPRE2;;;;;;PHKG2;
EIF2S1;;DEAF1;;;BRPF3;ARHGAP4;NCAM2;;;;;;PLEC;
EIF4A2;;DENR;;;TMEM14A;PAPOLA;;;;;;;PLOD1;
EIF4G1;;DEPDC5;;;ACOT7;ICAM1;;;;;;;PNP;
ELK1;;DHCR7;;;STX1B;IRAK3;;;;;;;POMT2;
MARK2;;DHX30;;;CIRBP;LYZ;;;;;;;PPP2R1A;
EMX1;;DIP2A;;;ATP5D;EFNB1;;;;;;;PSMD12;
CTTN;;DIP2C;;;C19orf26;NLRC4;;;;;;;PTEN;
EMX2;;DIPK2A;;;TIMM13;ITGA6;;;;;;;RAB3GAP1;
ENDOG;;DISC1;;;CEP170B;MLTK;;;;;;;RAB3GAP2;
ENO2;;DIXDC1;;;POLR2E;CCDC80;;;;;;;RAPSN;
ENSA;;DLG1;;;RASSF7;HAUS4;;;;;;;RLIM;
EPHA4;;DLG2;;;TRMT2A;SNAP23;;;;;;;RPGRIP1L;
EPHB3;;DLG4;;;SEZ6L;EZR;;;;;;;SATB1;
EPHB4;;DLGAP1;;;ANKRD54;TGFB2;;;;;;;SCN2A;
EPHB6;;DLGAP2;;;NHP2L1;COMT;;;;;;;SCN4A;
EPOR;;DLGAP3;;;POLR2F;CECR1;;;;;;;SEPN1;
NR2F6;;DLL1;;;PPP6R2;SUCO;;;;;;;SLC6A3;
ERCC3;;DLX3;;;NEFH;IKZF5;;;;;;;SMPD1;
ERF;;DLX6;;;MCAT;BAMBI;;;;;;;SNX14;
ETS2;;DMD;;;RBFOX2;CREM;;;;;;;SPTBN4;
ETV4;;DMPK;;;SYNGR1;TREM2;;;;;;;STXBP1;
ETV5;;DMWD;;;IFT27;FKBP5;;;;;;;SUCLA2;
EXTL1;;DMXL2;;;PVALB;SIRT1;;;;;;;SYNE1;
EXTL2;;DNAH10;;;RBX1;SH3GLB1;;;;;;;TAF1;
F12;;DNAH17;;;L3MBTL2;PCSK5;;;;;;;TANC2;
ACSL3;;DNAH3;;;RANGAP1;TMED1;;;;;;;TET3;
PTK2B;;DNER;;;CERK;ABLIM1;;;;;;;TGFB3;
FAP;;DNMT3A;;;KCNK10;PRTFDC1;;;;;;;TK2;
FARSA;;DOCK1;;;ATP6V1D;PALMD;;;;;;;TMEM237;
FES;;DOCK4;;;CHGA;IZUMO4;;;;;;;TNNT1;
FGF9;;DOCK8;;;PPM1A;GADD45B;;;;;;;TNRC6B;
FGF13;;DOLK;;;SEC23A;CRKL;;;;;;;TRAPPC4;
FHL2;;DPP10;;;GMPR2;PRODH;;;;;;;TRIP12;
FKBP1A;;DPP3;;;RABGGTA;CYTH4;;;;;;;TRMU;
FKBP1B;;DPP4;;;ABHD12;MFNG;;;;;;;TRNT1;
FKBP3;;DPP6;;;UQCC1;SLC25A1;;;;;;;TTN;
FOXG1B;;DPYD;;;NDRG3;PIK3IP1;;;;;;;UBE2A;
FOXD4;;DPYSL2;;;DNAJC5;TRIOBP;;;;;;;UGDH;
FLOT2;;DPYSL3;;;EEF1A2;TTC28;;;;;;;VPS51;
FOSB;;DRD2;;;GMEB2;TIMP3;;;;;;;WDFY3;
ADAM2;;DRD3;;;SPEF1;PACSIN2;;;;;;;YIF1B;
GAST;;DSCAM;;;NDUFAF5;HMOX1;;;;;;;ZMIZ1;
FUT5;;DST;;;MYLK2;TSPO;;;;;;;A2ML1;
GABBR1;;DUSP15;;;TM9SF4;MTMR3;;;;;;;AAAS;
GABRA1;;DVL3;;;KIF3B;APOL4;;;;;;;AARS;
GABRA2;;DYDC1;;;MANBAL;MYH9;;;;;;;AASS;
GABRA5;;DYDC2;;;IDH3B;EIF3D;;;;;;;ABAT;
GABRB2;;CYP11B1;;;USP14;NCF4;;;;;;;ABCB7;
GABRB3;;DCC;;;ST8SIA5;CSF2RB;;;;;;;ABCC8;
GABRD;;DLX2;;;RNMT;ST13;;;;;;;ABCD4;
GABRG2;;DYNC1H1;;;STS;MLC1;;;;;;;ACACA;
GAD1;;DYRK1A;;;WDR13;ABHD4;;;;;;;ACAD8;
GAD2;;DRD1;;;MCF2;KHNYN;;;;;;;ACAD9;
B4GALNT1;;EBF3;;;SYP;PYGL;;;;;;;ACADM;
GALNS;;ECPAS;;;SLC25A14;CGRRF1;;;;;;;ACADS;
GAP43;;EEF1A2;;;PGK1;RIN3;;;;;;;ACADSB;
GAS1;;EFR3A;;;UBL4A;ALKBH1;;;;;;;ACADVL;
GBAP;;EGR3;;;CD99L2;HIF1A;;;;;;;ACAT1;
GBAS;;EHMT1;;;CDK16;ZFYVE21;;;;;;;ACO2;
GCKR;;EIF3G;;;FGD1;PAPLN;;;;;;;ACOX1;
KAT2A;;EIF4E;;;PORCN;RPS6KA5;;;;;;;ACSF3;
GDF10;;EIF4G1;;;DRP2;ARHGAP5;;;;;;;ACTA1;
GFRA2;;ELAVL2;;;ARMCX3;NFKBIA;;;;;;;ACTB;
GGCX;;ELAVL3;;;FGF14;NFATC4;;;;;;;ACY1;
GGT7;;ELOVL2;;;HTR2A;PLTP;;;;;;;ADAM22;
GJB5;;ELP2;;;NDFIP2;BMP7;;;;;;;ADAMTS2;
GK;;ELP4;;;STK24;RAE1;;;;;;;ADAR;
GLDC;;EMSY;;;ARHGEF7;NELFCD;;;;;;;ADAT3;
GLE1;;EN2;;;FGF9;CTSZ;;;;;;;ADCK3;
GLRB;;ENPP1;;;SLC25A15;SLMO2;;;;;;;ADCY6;
GLS;;EP300;;;PARD6A;SLCO4A1;;;;;;;ADK;
GLRX;;EP400;;;MMP15;NKAIN4;;;;;;;ADNP;
GMFB;;EPC2;;;CCDC113;HCK;;;;;;;ADSL;
GNB3;;EPHA1;;;NDRG4;POFUT1;;;;;;;AEBP1;
GNG3;;EPHB1;;;PSMD7;MAPRE1;;;;;;;AGA;
GOT1;;EPHB2;;;SMPD3;SNTA1;;;;;;;AGK;
GOT2;;EPPK1;;;MLYCD;CST3;;;;;;;AGO2;
GP1BB;;ERBIN;;;SEC14L5;ZNF516;;;;;;;AGTPBP1;
GPC1;;ERMN;;;FAM173A;CDH20;;;;;;;AHCY;
GPLD1;;ESR2;;;UBFD1;MYOM1;;;;;;;AHSG;
GPM6A;;ESRRB;;;USP31;MYL12A;;;;;;;AIFM1;
GPR20;;ETFB;;;HMOX2;LAMA1;;;;;;;AIMP1;
GPR21;;EXOC3;;;XYLT1;TBL1X;;;;;;;AIPL1;
GPR22;;EXOC5;;;RPGRIP1L;GPR143;;;;;;;ALAD;
MCHR1;;EXOC6;;;MAZ;MID1;;;;;;;ALDH18A1;
GPR26;;EXOC6B;;;NOMO1;NXT2;;;;;;;ALDH3A2;
RAPGEF1;;EXT1;;;AAGAB;TLR8;;;;;;;ALDH5A1;
GRIA2;;FABP4;;;HERC1;CHRDL1;;;;;;;ALDH6A1;
GRIA3;;FABP5;;;AP3B2;SRPX;;;;;;;ALDH7A1;
GRID1;;FAM47A;;;RAB11A;STAG2;;;;;;;ALG1;
GRIK4;;FAM98C;;;DMXL2;ATP11C;;;;;;;ALG11;
GRIK5;;FAN1;;;VPS18;ABCD1;;;;;;;ALG12;
GRIN1;;FAT1;;;MYEF2;PLP2;;;;;;;ALG13;
GRIN2A;;FBN1;;;FZD3;RENBP;;;;;;;ALG14;
GRIN2B;;FBRSL1;;;IMPAD1;ELF4;;;;;;;ALG2;
GRINA;;FBXO11;;;GDAP1;SMARCA1;;;;;;;ALG3;
GRM3;;FBXO33;;;RAB2A;PHEX;;;;;;;ALG6;
GRM5;;FBXO40;;;STMN2;RP2;;;;;;;ALG8;
GRM7;;FCRL6;;;NCALD;TIMP1;;;;;;;ALKBH8;
GSK3A;;FEZF2;;;MTMR9;SRPX2;;;;;;;ALPL;
GSTA4;;FGA;;;DCTN6;SYTL4;;;;;;;AMER1;
GSTT2;;FGF13;;;NEFM;KIAA0226L;;;;;;;AMMECR1;
GTF2H4;;FGF14;;;BNIP3L;DNAJC3;;;;;;;AMPD1;
GTF3C1;;FHIT;;;SLC17A7;PARP4;;;;;;;AMT;
GUCA1B;;FMR1;;;PPP6R1;RGCC;;;;;;;ANK3;
GUCY1A3;;FOXG1;;;TIMM50;CLN5;;;;;;;ANTXR2;
GUK1;;FOXP1;;;GPI;MSLN;;;;;;;AP1B1;
GYPB;;FOXP2;;;PLD3;HSF4;;;;;;;AP1S1;
H2AFZ;;FRG1;;;SHD;SLC7A6OS;;;;;;;AP1S2;
HABP2;;FRK;;;FSD1;METRN;;;;;;;AP2M1;
HAGH;;FRMPD4;;;CLIP3;UBE2I;;;;;;;AP4B1;
HBQ1;;FXN;;;MRPL4;EEF2K;;;;;;;AP4E1;
HTT;;GABBR2;;;BABAM1;GGA2;;;;;;;AP4M1;
HEXB;;GABRA3;;;NAPA;RBL2;;;;;;;AP4S1;
HGD;;GABRA4;;;ATP1A3;PYCARD;;;;;;;APOA1BP;
UBE2K;;GABRB2;;;PTPRS;RASL12;;;;;;;APOE;
HIVEP1;;GABRB3;;;MEGF8;ACSBG1;;;;;;;APOPT1;
HIVEP2;;GABRG3;;;DKFZP761J1410;CTSH;;;;;;;AR;
HK1;;GALNT10;;;PPP2R1A;TTC23;;;;;;;ARFGEF2;
HMGA1;;GALNT13;;;KCNN1;FAH;;;;;;;ARHGAP31;
HPRT1;;GALNT14;;;RAB3A;EHD4;;;;;;;ARID1A;
HRH1;;GALNT2;;;ARMC6;ATP8B4;;;;;;;ARID2;
HRG;;GALNT8;;;TMEM59L;SPG11;;;;;;;ARL3;
HRH2;;GATM;;;LSR;ZDHHC2;;;;;;;ARMC9;
HSD11B1;;GBE1;;;FKBP8;EYA1;;;;;;;ARSA;
HSD17B1;;GDA;;;SCN1B;CPQ;;;;;;;ARV1;
HSPA1L;;GFAP;;;GSK3A;DECR1;;;;;;;ARX;
HSPA8;;GGNBP2;;;GTPBP10;STK3;;;;;;;ASAH1;
HTR1E;;GIGYF1;;;MTPN;EIF3E;;;;;;;ASCC1;
HTR1F;;GIGYF2;;;LMBR1;TRPS1;;;;;;;ASCL1;
HTR2A;;GLIS1;;;ABHD11;UBR5;;;;;;;ASH1L;
HTR4;;GLO1;;;STX1A;GSDMD;;;;;;;ASNS;
HTR5A;;GLRA2;;;GARS;EEF1D;;;;;;;ASPA;
ICA1;;GNAI1;;;EPHB6;ERI1;;;;;;;ASS1;
ID2;;GNAS;;;SNX8;TNFRSF10A;;;;;;;ASXL1;
IDH3G;;GNB1L;;;WASL;PPP2CB;;;;;;;ASXL2;
IDS;;GNB2;;;TSPAN13;MAN2B1;;;;;;;ATAD3A;
IFNGR2;;GPC4;;;COA1;FCGRT;;;;;;;ATCAY;
IGFBP2;;GPC5;;;EIF4H;CD37;;;;;;;ATIC;
CYR61;;GPC6;;;LIMK1;AMH;;;;;;;ATP1A2;
IGHMBP2;;GPD2;;;SLC1A1;LYL1;;;;;;;ATP1A3;
IGLL1;;GPHN;;;SPIN1;LILRB1;;;;;;;ATP2B3;
IL1RAP;;GPR37;;;PRUNE2;LILRA1;;;;;;;ATP6V0A2;
IMPA1;;GPR85;;;CORO2A;C19orf44;;;;;;;ATP6V1B2;
IMPA2;;GRB10;;;DNM1;RASAL3;;;;;;;ATP6V1E1;
INHA;;GRIA1;;;ELAVL2;SYDE1;;;;;;;ATP7A;
INPP4A;;GRIA2;;;SH3GL2;EBI3;;;;;;;ATP8A2;
INPP5A;;GRIA3;;;RAB11FIP2;SLC1A5;;;;;;;ATRX;
IRS1;;GRID1;;;MAPK8;TGFB1;;;;;;;ATXN1;
ISLR;;GRID2;;;SPOCK2;SIGLEC8;;;;;;;ATXN10;
ITGAE;;GRID2IP;;;PPP3CB;RPS19;;;;;;;ATXN2;
ITPA;;GRIK2;;;CCSER2;CD33;;;;;;;ATXN7;
ITPK1;;GRIK3;;;KAZALD1;PLEKHA4;;;;;;;AUTS2;
ITPKA;;GRIK4;;;CPEB3;WDR83OS;;;;;;;B3GALNT2;
ITPR1;;GRIK5;;;FBXL15;GCDH;;;;;;;B3GALT6;
KCNA1;;GRIN1;;;OBFC1;DNASE2;;;;;;;B3GAT3;
KCNA2;;ERG;;;SORCS1;JAK3;;;;;;;B3GNT1;
KCNA5;;FGFR1;;;CUL2;RPL18A;;;;;;;B4GALT1;
KCNB1;;G3BP2;;;CCNY;HAMP;;;;;;;B4GALT7;
KCNC1;;GAS2;;;GIT1;PIK3CG;;;;;;;B9D1;
KCNC2;;GPX1;;;PSMD3;PON3;;;;;;;BCKDHA;
KCNC3;;GRIN2A;;;RAPGEFL1;PON2;;;;;;;BCKDHB;
KCND3;;GRIN2B;;;MTMR4;ITGB8;;;;;;;BCS1L;
KCNF1;;GRIP1;;;TRIM37;HBP1;;;;;;;BICD2;
KCNH1;;GRK4;;;PIGL;PTN;;;;;;;BMP2;
KCNJ3;;GRM5;;;SLC25A11;ZC3HAV1;;;;;;;BMP4;
KCNJ6;;GRM7;;;C17orf75;TTC26;;;;;;;BMPER;
KCNJ8;;GTF2I;;;CNTNAP1;TFEC;;;;;;;BOLA3;
KCNJ9;;GUCY1A2;;;DUSP3;LFNG;;;;;;;BRAF;
KCNJ11;;H1-4;;;PRKAR1A;TSPAN12;;;;;;;BRD4;
KCNK1;;H2BC11;;;TNFAIP1;HIBADH;;;;;;;BRSK2;
KCNK2;;H4C11;;;GABRA4;CPVL;;;;;;;BRWD3;
KCNMA1;;H4C3;;;OCIAD1;FKBP14;;;;;;;BTD;
KCNN1;;H4C5;;;LAMTOR3;NOD1;;;;;;;BUB1;
KCNQ2;;HACE1;;;MAPK10;HSPB1;;;;;;;BUB1B;
KCNQ3;;HCFC1;;;TBC1D9;PTPRZ1;;;;;;;BUB3;
KCNS1;;HCN1;;;GALNT7;FSCN3;;;;;;;C10orf2;
KCNS2;;HDAC4;;;TRIM2;TMEM176B;;;;;;;C11orf73;
KHK;;HDAC8;;;FBXW7;GLI3;;;;;;;C12orf4;
KIF5A;;HDLBP;;;GLRB;GCK;;;;;;;C12orf57;
KIF5C;;HECTD4;;;SNX25;LHX2;;;;;;;C12orf65;
KIT;;HECW2;;;UFSP2;TGFBR1;;;;;;;C17orf89;
KNG1;;HEPACAM;;;PPARGC1A;TNFSF8;;;;;;;C19orf12;
IPO5;;HERC1;;;TECTA;DOCK8;;;;;;;C19orf70;
KRAS;;HERC2;;;FOXRED1;KANK1;;;;;;;C2CD3;
KRT5;;HIVEP2;;;PPP6R3;FUBP3;;;;;;;C3orf17;
KRT17;;HIVEP3;;;NRXN2;GLIS3;;;;;;;C5orf42;
KRT31;;HLA-DPB1;;;PRPF19;PALD1;;;;;;;CA8;
LAG3;;HNRNPD;;;TRIM3;C10orf54;;;;;;;CACNA1A;
LAMA2;;HNRNPF;;;KIAA1549L;BMPR1A;;;;;;;CACNA1B;
LAMB1;;HNRNPH2;;;MADD;BCCIP;;;;;;;CACNA1C;
LAMB3;;HNRNPK;;;ELMOD1;MAP3K8;;;;;;;CACNA1E;
STMN1;;HNRNPR;;;PITPNM1;SMC3;;;;;;;CACNA1G;
LASP1;;HNRNPU;;;CSRNP2;DNAJC12;;;;;;;CACNA2D2;
LDHC;;HNRNPUL2;;;CAMKK2;RPL19;;;;;;;CACNG2;
LGALS2;;HOMER1;;;ATP5B;CSF3;;;;;;;CAD;
LMO7;;HOXA1;;;PPM1H;RNF43;;;;;;;CAMK2B;
LRPAP1;;GSTM1;;;METAP2;TUBD1;;;;;;;CAMK2G;
LTK;;HLA-A;;;SLC6A12;RASD1;;;;;;;CAMTA1;
LY6E;;HLA-B;;;PRMT8;FTSJ3;;;;;;;CANT1;
LY6H;;HLA-DRB1;;;MANSC1;SMARCD2;;;;;;;CARS2;
SMAD3;;HLA-G;;;KCNA1;ABI3;;;;;;;CASK;
MAGOH;;HMGN1;;;SLC38A1;SMURF2;;;;;;;CASR;
MAP1A;;HRAS;;;RERGL;RCVRN;;;;;;;CBL;
MAPT;;HS3ST5;;;TBC1D30;SLC9A3R1;;;;;;;CBY1;
MATK;;HSD11B1;;;CAND1;ALDOC;;;;;;;CC2D1A;
MBD1;;HTR1B;;;UHRF1BP1L;RAB34;;;;;;;CC2D2A;
MCM4;;HTR3A;;;COPS7A;NFKB1;;;;;;;CCDC115;
MCM6;;HTR3C;;;USP5;MANBA;;;;;;;CCDC141;
ADAM11;;HUWE1;;;TPI1;ELF2;;;;;;;CCDC174;
MDH1;;HYDIN;;;GNPTAB;ZNF330;;;;;;;CCDC22;
MDH2;;ICA1;;;ENO2;CPE;;;;;;;CCDC47;
MEF2A;;IGF1;;;CMAS;RPL34;;;;;;;CCDC78;
MEF2C;;IKZF1;;;ST8SIA1;WFS1;;;;;;;CCDC88A;
MAP3K5;;IL1R2;;;C2CD5;SOD3;;;;;;;CD59;
MEN1;;IL1RAPL1;;;FRK;SEPSECS;;;;;;;CD96;
MFAP1;;IL1RAPL2;;;TMEM14C;HGFAC;;;;;;;CDC42;
MFGE8;;ILF2;;;UST;KLF3;;;;;;;CDH15;
MGAT3;;IMMP2L;;;SRSF3;CTSC;;;;;;;CDK10;
KITLG;;INPP1;;;RNF8;ELP4;;;;;;;CDK19;
MAP3K10;;INTS1;;;PHACTR1;EHD1;;;;;;;CDK8;
MLLT6;;INTS6;;;FBXO9;MS4A6A;;;;;;;CDKN1C;
NR3C2;;IQGAP3;;;CAP2;MS4A4A;;;;;;;CDON;
MMP16;;IQSEC2;;;WASF1;CPT1A;;;;;;;CELF2;
MNAT1;;IRF2BPL;;;GPLD1;TMEM109;;;;;;;CEP104;
MNT;;ITGA8;;;SOBP;CHORDC1;;;;;;;CEP120;
CD200;;ITGB3;;;HBS1L;IL10RA;;;;;;;CEP290;
MPG;;ITPR1;;;PDE10A;HIPK3;;;;;;;CEP41;
MPV17;;ITSN1;;;PPP2R5D;SLC1A2;;;;;;;CEP57;
MYO1B;;JARID2;;;MRPL2;MDK;;;;;;;CHAMP1;
CITED1;;JMJD1C;;;TMEM30A;PTPMT1;;;;;;;CHAT;
MSRA;;KANK1;;;ENPP5;CD81;;;;;;;CHD1;
MTHFD1;;KANSL1;;;HMGCS1;SOX6;;;;;;;CHD4;
MTX1;;KAT2B;;;NME5;RPS13;;;;;;;CHD7;
MYO5A;;KAT6A;;;NNT;TCIRG1;;;;;;;CHKB;
MYO5B;;KAT6B;;;PFDN1;HPS5;;;;;;;CHMP1A;
PPP1R12A;;KATNAL1;;;HMGCR;CLEC2B;;;;;;;CIC;
PPP1R12B;;KATNAL2;;;PDE8B;BIN2;;;;;;;CKAP2L;
NAP1L2;;KCNA2;;;GABRG2;ACSS3;;;;;;;CLCN4;
NARS;;KCNB1;;;SKP1;LTA4H;;;;;;;CLCN6;
NBL1;;KCNC1;;;PPP2CA;SH2B3;;;;;;;CLIP1;
NDUFA4;;KCNC2;;;TRIM23;ALDH2;;;;;;;CLTC;
NDUFA8;;KCND2;;;ARL6;LTBR;;;;;;;CLTCL1;
NEB;;KCND3;;;ARMC8;ARHGDIB;;;;;;;CNKSR2;
NDUFB2;;KCNJ10;;;SLC25A36;ENDOU;;;;;;;CNOT1;
NDUFB5;;KCNJ15;;;FGF12;STX2;;;;;;;CNOT2;
NDUFB8;;KCNK7;;;TUSC2;CHPT1;;;;;;;CNTN1;
NELL1;;KCNMA1;;;ATP6V1A;PTPN6;;;;;;;CNTNAP1;
NEK2;;KCNQ2;;;VIPR1;RFX4;;;;;;;COA3;
NELL2;;KCNQ3;;;ZBTB47;DSE;;;;;;;COA6;
NEU1;;KCNS3;;;SLC4A3;ASF1A;;;;;;;COG4;
NEUROD2;;KCTD13;;;ADAM23;TPD52L1;;;;;;;COG5;
NF2;;KDM1B;;;KCNIP3;SASH1;;;;;;;COG6;
NFIX;;KDM2A;;;ACTR1B;SOD2;;;;;;;COG7;
NFKBIE;;KDM3B;;;SLC30A3;BAG2;;;;;;;COG8;
NMT1;;KDM4B;;;FNDC4;RPS12;;;;;;;COL2A1;
NOP2;;KDM4C;;;NDUFS7;GMNN;;;;;;;COL4A1;
NOS2;;KDM5A;;;RTN4;NR2E1;;;;;;;COL4A3BP;
NPY;;KDM5B;;;LANCL1;TRIM38;;;;;;;COL5A1;
NOV;;KDM5C;;;GLS;SLC16A10;;;;;;;COL5A2;
NPAS1;;KDM6A;;;USP34;MDFI;;;;;;;COL6A1;
NPAS2;;KDM6B;;;MOB4;CCND3;;;;;;;COL6A2;
NPPA;;KHDRBS2;;;CHMP3;LY86;;;;;;;COL6A3;
NPTX1;;KIAA0232;;;UXS1;DAP;;;;;;;COLGALT1;
NPTX2;;KIAA1586;;;PPP1R7;CCNG1;;;;;;;COLQ;
NPY2R;;KIF13B;;;STK25;LIFR;;;;;;;COQ2;
NRCAM;;KIF14;;;BIRC6;SMAD5;;;;;;;COQ4;
NRGN;;KIF1A;;;PLEKHB2;ATP6V0E1;;;;;;;COQ9;
NSF;;KIF5C;;;SLC25A12;STC2;;;;;;;COX10;
NTHL1;;KIRREL3;;;ORC4;EHHADH;;;;;;;COX14;
NTRK3;;KLF16;;;AAK1;SELK;;;;;;;COX15;
TBC1D25;;KLF7;;;EPHA4;BCL6;;;;;;;COX20;
OAZ1;;KMT2A;;;FARSB;NPHP3;;;;;;;COX4I1;
OGG1;;KDM2B;;;ALMS1;CD86;;;;;;;COX5A;
OMP;;KIZ;;;DNAJC16;CEP70;;;;;;;COX6A2;
AP000843.1;;KLHL20;;;MARK1;RBP1;;;;;;;COX6B1;
OPRD1;;KMT2C;;;TMEM59;KAT2B;;;;;;;COX8A;
OPRL1;;KMT2E;;;MRPL37;HES1;;;;;;;CPS1;
OR3A2;;KMT5B;;;DLGAP3;ACAP2;;;;;;;CPT1A;
OTX1;;KNG1;;;SFPQ;RPL24;;;;;;;CPT2;
OVGP1;;KPTN;;;MEF2D;FXR1;;;;;;;CRADD;
OXA1L;;KRR1;;;DNAJC6;NCBP2;;;;;;;CRB1;
OXCT1;;KRT26;;;MFN2;NEK11;;;;;;;CRBN;
P2RX5;;LAMA1;;;UCHL5;PLSCR4;;;;;;;CRX;
P2RY11;;LAMB1;;;KIF21B;HEMK1;;;;;;;CSF1R;
PAFAH1B1;;LAS1L;;;EXOC8;MAPKAPK3;;;;;;;CSGALNACT1;
PAH;;LDB1;;;MTR;ACVR2B;;;;;;;CSNK2A1;
PAK1;;LDLR;;;RGS4;WDR48;;;;;;;CSPP1;
PALM;;LEMD3;;;IGSF21;ARHGEF26;;;;;;;CTBP1;
PBX1;;LEO1;;;SSX2IP;SSR3;;;;;;;CTCF;
PCDH7;;LEP;;;ATP6V0B;MOB1A;;;;;;;CTNNA2;
PCDH8;;LILRB2;;;B4GALT2;LMAN2L;;;;;;;CTNNB1;
PCNT;;LIN7B;;;FAAH;EPB41L5;;;;;;;CTNS;
PCP4;;LMTK3;;;VAMP4;TP53I3;;;;;;;CTU2;
PCSK1;;LMX1B;;;HSD11B1;CYTIP;;;;;;;CUL4B;
PCSK2;;LNPK;;;LPPR5;GPR75-ASB3;;;;;;;CUX1;
PCTK1;;LRBA;;;LPPR4;DOK1;;;;;;;CWF19L1;
PDE1A;;LRFN2;;;SLC8A2;EFEMP1;;;;;;;CYFIP2;
PDE2A;;LRFN5;;;CAMSAP2;PAPOLG;;;;;;;CYP24A1;
PDE4A;;LRP1;;;B4GALT6;IL1R1;;;;;;;CYP27B1;
PDE4D;;LRP2;;;ELOVL4;IL1RL1;;;;;;;CYP2R1;
PDE1B;;LRRC1;;;SGIP1;PRKD3;;;;;;;D2HGDH;
PDHA1;;LRRC4;;;RNF146;DARS;;;;;;;DAK;
PDPK1;;LRRC4C;;;SLC16A7;SLC1A4;;;;;;;DALRD3;
SLC26A4;;LZTR1;;;CASQ2;PLEK;;;;;;;DARS;
SERPINF1;;LZTS2;;;OLFM3;NFE2L2;;;;;;;DARS2;
PER1;;MACROD2;;;ABCG2;SPR;;;;;;;DBH;
PET112L;;MAGEL2;;;RAB3GAP2;PARD3B;;;;;;;DBT;
PEX14;;MAOA;;;WDR35;ANGPTL1;;;;;;;DCC;
PFAS;;MAOB;;;SENP5;HDAC1;;;;;;;DCHS1;
VIT;;MAP1A;;;PPP2R4;DOCK7;;;;;;;DCPS;
PFKP;;MAP4K1;;;TRIM32;NCF2;;;;;;;DCX;
PFN2;;MAP4K4;;;FBXW2;WLS;;;;;;;DDC;
PFTK1;;MAPK3;;;NDUFA8;TROVE2;;;;;;;DDOST;
PGC;;MAPK8IP1;;;NR4A3;CD58;;;;;;;DDR2;
